protein,pearson_correlation,protein_uniprot
LOXL2,0.02443338580106295,Q9Y4K0
LPA,,P08519
LPAR1,,Q92633
LPAR2,,Q9HBW0
LPAR3,,Q9UBY5
LPAR5,,Q9H1C0
LPIN2,,Q92539
LPL,,P06858
LRP1,,Q07954
LRRK1,,Q38SD2
LRRK2,,Q5S007
LRTOMT,,Q96E66
LSM6,,P62312
LSS,,P48449
LTA4H,,P09960
LTB4R,,Q15722
LTB4R2,,Q9NPC1
LTF,,P02788
LTK,,P29376
LY96,,Q9Y6Y9
LYL1,,P12980
LYN,,P07948
LYPLA1,,O75608
LYZ,,P61626
LZTR1,,Q8N653
LZTS1,,Q9Y250
MAEL,,Q96JY0
MAF,,O75444
MAFA,,Q8NHW3
MAFB,,Q9Y5Q3
MAFF,,Q9ULX9
MAFG,,O15525
MAFK,,O60675
MAGEA1,,P43355
MAGED1,,Q9Y5V3
MAK,,P20794
MALT1,,Q9UDY8
MAML1,,Q92585
MAML2,,Q8IZL2
MAML3,,Q96JK9
MAN1B1,,Q9UKM7
MAN2A1,,Q16706
MAOA,,P21397
MAOB,,P27338
MAP1A,,P78559
MAP2,,P11137
MAP2K1,,Q02750
MAP2K2,,P36507
MAP2K3,,P46734
MAP2K4,,P45985
MAP2K5,,Q13163
MAP2K6,,P52564
MAP2K7,,O14733
MAP3K1,,Q13233
MAP3K10,-0.03380052535419706,Q02779
MAP3K11,,Q16584
MAP3K2,,Q9Y2U5
MAP3K20,,Q9NYL2
MAP3K3,,Q99759
MAP3K5,,Q99683
MAP3K6,,O95382
MAP3K7,,O43318
MAP3K8,,P41279
MAP3K9,,P80192
MAP4,,P27816
MAP4K2,,Q12851
MAP4K4,,O95819
MAP4K5,,Q9Y4K4
MAPK1,,P28482
MAPK10,,P53779
MAPK11,,Q15759
MAPK12,,P53778
MAPK13,,O15264
MAPK14,,Q16539
MAPK15,,Q8TD08
MAPK3,,P27361
MAPK7,,Q13164
MAPK8,,P45983
MAPK8IP1,-0.053051726240925016,Q9UQF2
MAPK9,,P45984
MAPKAPK2,,P49137
MAPT,,P10636
MARK1,,Q9P0L2
MARK2,,Q7KZI7
MARK3,,P27448
MARK4,,Q96L34
MARS1,,P56192
MASP1,,P48740
MASP2,,O00187
MATK,,P42679
MAX,,P61244
MAZ,,P56270
MBD1,,Q9UIS9
MBD2,-0.0024807673148886707,Q9UBB5
MBD3,,O95983
MBD4,,O95243
MBL2,,P11226
MBTPS1,,Q14703
MC1R,,Q01726
MC2R,,Q01718
MC3R,,P41968
MC4R,,P32245
MC5R,,P33032
MCEE,,Q96PE7
MCHR1,,Q99705
MCHR2,,Q969V1
MCL1,,Q07820
MCOLN1,,Q9GZU1
MCOLN3,,Q8TDD5
MDFI,,Q99750
MDH2,,P40926
MDM2,-0.0329812407089458,Q00987
MDM4,-0.027212298902090353,O15151
ME1,,P48163
ME2,,P23368
MECOM,,Q03112
MECP2,,P51608
MED1,,Q15648
MED10,,Q9BTT4
MED12,,Q93074
MED13,,Q9UHV7
MED14,,O60244
MED15,,Q96RN5
MED16,,Q9Y2X0
MED17,,Q9NVC6
MED20,,Q9H944
MED21,,Q13503
MED23,,Q9ULK4
MED24,,O75448
MED25,,Q71SY5
MED26,,O95402
MED27,,Q6P2C8
MED30,,Q96HR3
MED31,,Q9Y3C7
MED4,,Q9NPJ6
MED6,,O75586
MED7,,O43513
MEF2A,,Q02078
MEF2B,,Q02080
MEF2C,,Q06413
MEF2D,,Q14814
MEIS1,,O00470
MEIS2,,O14770
MEIS3,,Q99687
MELK,,Q14680
MEN1,,O00255
MEOX1,,P50221
MEOX2,,P50222
MERTK,,Q12866
MESP1,,Q9BRJ9
MESP2,,Q0VG99
MET,,P08581
METAP2,,P50579
MGA,,Q8IWI9
MGAM,,O43451
MGEA5,,None
MGLL,,Q99685
MGMT,,P16455
MGST1,,P10620
MIER1,,Q8N108
MIER3,,Q7Z3K6
MIF,,P14174
MINK1,,Q8N4C8
MITF,,O75030
MIXL1,,Q9H2W2
MKL1,0.04585626874972547,None
MKL2,,None
MKNK1,,Q9BUB5
MKNK2,,Q9HBH9
MKX,,Q8IYA7
MLCK,,None
MLH1,,P40692
MLLT1,,Q03111
MLLT10,,P55197
MLLT6,,P55198
MLNR,,O43193
MLX,,Q9UH92
MLXIP,,Q9HAP2
MLXIPL,,Q9NP71
MME,,P08473
MMEL1,,Q495T6
MMP1,,P03956
MMP10,,P09238
MMP11,,P24347
MMP12,,P39900
MMP13,,P45452
MMP14,,P50281
MMP15,,P51511
MMP16,,P51512
MMP17,,Q9ULZ9
MMP19,,Q99542
MMP2,,P08253
MMP20,,O60882
MMP21,,Q8N119
MMP23A,,603320
MMP23B,,O75900
MMP24,,Q9Y5R2
MMP25,,Q9NPA2
MMP26,,Q9NRE1
MMP27,,Q9H306
MMP28,,Q9H239
MMP3,,P08254
MMP7,,P09237
MMP8,,P22894
MMP9,,P14780
MMS19,,Q96T76
MNAT1,,P51948
MNDA,,P41218
MNT,,Q99583
MNX1,,P50219
MPDU1,,O75352
MPI,,P34949
MPL,,P40238
MPO,,P05164
MR1,,Q95460
MRAS,,O14807
MRE11,,P49959
MRE11A,,None
MRGPRX1,,Q96LB2
MRTFA,,Q969V6
MRTFB,,Q9ULH7
MS4A1,,P11836
MS4A13,,Q5J8X5
MS4A2,,Q01362
MSC,,O60682
MSGN1,,A6NI15
MSL3,,Q8N5Y2
MSMO1,,Q15800
MST1R,,Q04912
MSX1,,P28360
MSX2,,P35548
MT-CO1,,None
MT-CO2,,None
MT-CYB,,None
MT-ND1,,None
MT-ND2,,None
MT1E,,P04732
MT2A,,P02795
MT3,,P25713
MTA1,,Q13330
MTA2,,O94776
MTA3,,Q9BTC8
MTAP,,Q13126
MTDH,,Q86UE4
MTF1,,Q14872
MTF2,,Q9Y483
MTHFR,,P42898
MTNR1A,,P48039
MTNR1B,,P49286
MTOR,,P42345
MTR,,Q99707
MTRR,,Q9UBK8
MTTP,,P55157
MUC2,,Q02817
MUSK,,O15146
MVD,,P53602
MVK,,Q03426
MXD1,,Q05195
MXD3,,Q9BW11
MXD4,,Q14582
MXI1,,P50539
MYB,,P10242
MYBBP1A,,Q9BQG0
MYBL1,,P10243
MYBL2,,P10244
MYBPC3,,Q14896
MYC,0.0,P01106
MYCBP,,Q99417
MYCL,,P12524
MYCN,-7.674440949301476e-05,P04198
MYD88,,Q99836
MYEF2,,Q9P2K5
MYF5,,P13349
MYF6,,P23409
MYH14,,Q7Z406
MYH2,,Q9UKX2
MYH9,,P35579
MYL2,,P10916
MYL9,,P24844
MYLK,,Q15746
MYLK2,,Q9H1R3
MYLK3,,Q32MK0
MYNN,,Q9NPC7
MYO3B,,Q8WXR4
MYO7A,,Q13402
MYOCD,,Q8IZQ8
MYOD1,0.00010393186218740005,P15172
MYOG,,P15173
MYRF,,Q9Y2G1
MYRFL,,Q96LU7
MYSM1,,Q5VVJ2
MYT1,,Q01538
MYT1L,,Q9UL68
MZF1,,P28698
NAB1,,Q13506
NAB2,,Q15742
NACA,,Q13765
NACA2,,Q9H009
NADSYN1,,Q6IA69
NAE1,,Q13564
NAGLU,,P54802
NAGS,,Q8N159
NALCN,,Q8IZF0
NAMPT,,P43490
NANOG,,Q9H9S0
NANOGP8,,Q6NSW7
NANP,,Q8TBE9
NAPEPLD,,Q6IQ20
NAT1,,P18440
NAT10,,Q9H0A0
NAT2,,P11245
NAXE,,Q8NCW5
NCF1,,P14598
NCF2,,P19878
NCF4,,Q15080
NCOA1,-0.037419610176092355,Q15788
NCOA2,-0.015431431133873134,Q15596
NCOA3,-0.03441099097854751,Q9Y6Q9
NCOA4,,Q13772
NCOA6,,Q14686
NCOA7,,Q8NI08
NCOR1,-0.03988084195984461,O75376
NCOR2,,Q9Y618
NCS1,,P62166
NDC80,,O14777
NDOR1,,Q9UHB4
NDUFC2,,O95298
NEDD4,,P46934
NEDD8,,Q15843
NEDD9,,Q14511
NEIL1,,Q96FI4
NEK1,,Q96PY6
NEK11,,Q8NG66
NEK2,,P51955
NEK4,,P51957
NEK9,,Q8TD19
NELFB,,Q8WX92
NEU1,,Q99519
NEU2,,Q9Y3R4
NEUROD1,,Q13562
NEUROD2,,Q15784
NEUROD4,,Q9HD90
NEUROD6,,Q96NK8
NEUROG1,,Q92886
NEUROG2,,Q9H2A3
NEUROG3,,Q9Y4Z2
NFAT5,,O94916
NFATC1,0.01624274861247869,O95644
NFATC2,0.12505812602034555,Q13469
NFATC3,0.007354787703467549,Q12968
NFATC4,,Q14934
NFE2,-0.011664900623099168,Q16621
NFE2L1,,Q14494
NFE2L2,-0.002409234552827322,Q16236
NFE2L3,,Q9Y4A8
NFIA,,Q12857
NFIB,,O00712
NFIC,,P08651
NFIL3,,Q16649
NFIX,,Q14938
NFKB1,-0.017651888660082098,P19838
NFKB2,0.0010859447411725035,Q00653
NFKBIA,-0.025311262395109696,P25963
NFKBIB,,Q15653
NFKBIZ,,Q9BYH8
NFRKB,,Q6P4R8
NFX1,,Q12986
NFXL1,,Q6ZNB6
NFYA,,P23511
NFYB,,P25208
NFYC,,Q13952
NGB,,Q9NPG2
NGF,,P01138
NGFR,,P08138
NHLH1,,Q02575
NHLH2,,Q02577
NHP2L1,,None
NIM1K,,Q8IY84
NISCH,,Q9Y2I1
NKRF,,O15226
NKX1-2,,Q9UD57
NKX2-1,,P43699
NKX2-2,,O95096
NKX2-3,,Q8TAU0
NKX2-4,,Q9H2Z4
NKX2-5,,P52952
NKX2-6,,A6NCS4
NKX2-8,,O15522
NKX3-1,,Q99801
NKX3-2,,P78367
NKX6-1,,P78426
NKX6-2,,Q9C056
NKX6-3,,A6NJ46
NLK,0.0012276624461701295,Q9UBE8
NLRP3,,Q96P20
NLRP4,,Q96MN2
NMBR,,P28336
NME2,,P22392
NMU,,P48645
NMUR1,,Q9HB89
NMUR2,,Q9GZQ4
NOA1,,Q8NC60
NOBOX,,O60393
NOC2L,,Q9Y3T9
NOCT,,Q9UK39
NOD2,,Q9HC29
NONO,,Q15233
NOS1,,P29475
NOS2,,P35228
NOS3,,P29474
NOTCH1,,P46531
NOTCH2,,Q04721
NOTO,,A8MTQ0
NOX1,,Q9Y5S8
NOX3,,Q9HBY0
NOX4,,Q9NPH5
NOXO1,,Q8NFA2
NPAS1,,Q99742
NPAS2,,Q99743
NPAS4,,Q8IUM7
NPAT,,Q14207
NPBWR1,,P48145
NPBWR2,,P48146
NPC1L1,,Q9UHC9
NPEPPS,,P55786
NPFFR1,,Q9GZQ6
NPFFR2,,Q9Y5X5
NPM1,,P06748
NPM2,,Q86SE8
NPPA,,P01160
NPPB,,P16860
NPR1,,P16066
NPR2,,P20594
NPSR1,,Q6W5P4
NPY,,P01303
NPY1R,,P25929
NPY2R,,P49146
NPY4R,,P50391
NPY5R,,Q15761
NQO1,,P15559
NQO2,,P16083
NR0B1,0.028954088649078637,P51843
NR0B2,,Q15466
NR1D1,,P20393
NR1D2,,Q14995
NR1H2,0.007589084954514815,P55055
NR1H3,-0.02819739326051174,Q13133
NR1H4,0.008181445255053424,Q96RI1
NR1I2,0.014053166566882715,O75469
NR1I3,0.007224880584051473,Q14994
NR2C1,,P13056
NR2C2,-0.00830911663220188,P49116
NR2E1,,Q9Y466
NR2E3,,Q9Y5X4
NR2F1,,P10589
NR2F2,,P24468
NR2F6,,P10588
NR3C1,0.0030799560498721455,P04150
NR3C2,0.016498121184721937,P08235
NR4A1,0.03171422110022474,P22736
NR4A2,,P43354
NR4A3,,Q92570
NR5A1,-0.009563519508946128,Q13285
NR5A2,,O00482
NR6A1,0.06766670268211013,Q15406
NRAS,,P01111
NRBF2,,Q96F24
NRF1,,Q16656
NRIP1,,P48552
NRL,,P54845
NRP1,,O14786
NRXN1,,Q9ULB1
NS3,,None
NS3/4A,,None
NS5A,,None
NS5b,,None
NSD1,,Q96L73
NSD2,,O96028
NT5C1A,,Q9BXI3
NT5C2,,P49902
NT5E,,P21589
NTRK1,,P04629
NTRK2,,Q16620
NTRK3,,Q16288
NTSR1,,P30989
NTSR2,,O95665
NUAK1,,O60285
NUAK2,,Q9H093
NUDT1,,P36639
NUDT10,,Q8NFP7
NUDT11,,Q96G61
NUDT9,,Q9BW91
NUMA1,,Q14980
NUP107,,P57740
NUP133,,Q8WUM0
NUP153,,P49790
NUP155,,O75694
NUP160,,Q12769
NUP188,,Q5SRE5
NUP205,,Q92621
NUP210,,Q8TEM1
NUP214,,P35658
NUP35,,Q8NFH5
NUP37,,Q8NFH4
NUP42,,O15504
NUP43,,Q8NFH3
NUP50,,Q9UKX7
NUP54,,Q7Z3B4
NUP62,,P37198
NUP85,,Q9BW27
NUP88,,Q99567
NUP93,,Q8N1F7
NUPR1,,O60356
OAT,,P04181
OCLN,,Q16625
OCRL,,Q01968
ODC1,,P11926
OGDH,,Q02218
OGG1,,O15527
OLIG1,,Q8TAK6
OLIG2,,Q13516
OLIG3,,Q7RTU3
ONECUT1,,Q9UBC0
ONECUT2,,O95948
ONECUT3,,O60422
OPLAH,,O14841
OPN4,,Q9UHM6
OPRD1,,P41143
OPRK1,,P41145
OPRL1,,P41146
OPRM1,,P35372
OPTN,,Q96CV9
ORAI1,,Q96D31
ORC2,,Q13416
ORM1,,P02763
ORM2,,P19652
OSBP,,P22059
OSR1,,Q8TAX0
OSR2,,Q8N2R0
OTC,,P00480
OTP,,Q5XKR4
OTX1,,P32242
OTX2,,P32243
OVOL1,,O14753
OVOL2,,Q9BRP0
OXA-48,,None
OXSR1,,O95747
OXT,,P01178
OXTR,,P30559
PA2G4,,Q9UQ80
PADI1,,Q9ULC6
PADI2,,Q9Y2J8
PADI3,,Q9ULW8
PADI4,,Q9UM07
PADI6,,Q6TGC4
PAEP,,P09466
PAFAH1B1,,P43034
PAH,,P00439
PAICS,,P22234
PAK1,,Q13153
PAK2,,Q13177
PAK3,,O75914
PAK4,,O96013
PAK5,,Q9P286
PAK6,,Q9NQU5
PAK7,,None
PANX1,,Q96RD7
PANX2,,Q96RD6
PANX3,,Q96QZ0
PAPOLA,,P51003
PAPSS1,,O43252
PAQR5,,Q9NXK6
PARG,,Q86W56
PARK7,,Q99497
PARP1,0.04359584337029556,P09874
PARP15,,Q460N3
PARP2,,Q9UGN5
PARP3,,Q9Y6F1
PARS2,,Q7L3T8
PASK,,Q96RG2
PATZ1,,Q9HBE1
PAWR,,Q96IZ0
PAX1,,P15863
PAX2,,Q02962
PAX3,,P23760
PAX4,,O43316
PAX5,,Q02548
PAX6,,P26367
PAX7,,P23759
PAX8,,Q06710
PAX9,,P55771
PAXBP1,,Q9Y5B6
PB1,,None
PBK,,Q96KB5
PBRM1,,Q86U86
PBX1,,P40424
PBX2,,P40425
PBX3,,P40426
PBX4,,Q9BYU1
PBXIP1,,Q96AQ6
PCBD1,,P61457
PCBD2,,Q9H0N5
PCGF1,,Q9BSM1
PCGF2,,P35227
PCGF3,,Q3KNV8
PCGF5,,Q86SE9
PCGF6,,Q9BYE7
PCK1,,P35558
PCK2,,Q16822
PCNA,,P12004
PCSK9,,Q8NBP7
PCYT1A,,P49585
PDCD4,,Q53EL6
PDCD6,,O75340
PDE10A,,Q9Y233
PDE11A,,Q9HCR9
PDE1A,,P54750
PDE1B,,Q01064
PDE1C,,Q14123
PDE2A,,O00408
PDE3A,,Q14432
PDE3B,,Q13370
PDE4,,None
PDE4A,,P27815
PDE4B,,Q07343
PDE4C,,Q08493
PDE4D,,Q08499
PDE5A,,O76074
PDE6A,,P16499
PDE6B,,P35913
PDE6C,,P51160
PDE6D,,O43924
PDE6G,,P18545
PDE6H,,Q13956
PDE7A,,Q13946
PDE7B,,Q9NP56
PDE8A,,O60658
PDE8B,,O95263
PDE9A,,O76083
PDF,,Q9HBH1
PDGFA,,P04085
PDGFB,,P01127
PDGFD,,Q9GZP0
PDGFRA,,P16234
PDGFRB,,P09619
PDGFRL,,Q15198
PDHA1,,P08559
PDHB,,P11177
PDHX,,O00330
PDK1,,Q15118
PDK2,,Q15119
PDK3,,Q15120
PDLIM1,,O00151
PDPK1,,O15530
PDX1,,P52945
PDXK,,O00764
PDYN,,P01213
PECR,,Q9BY49
PEG3,,Q9GZU2
PELP1,,Q8IZL8
PENK,,P01210
PEPD,,P12955
PER2,,O15055
PEX11A,,O75192
PEX14,,O75381
PEX2,,P28328
PF4,,P02776
PF4V1,,P10720
PFAS,,O15067
PFDN5,,Q99471
PFKFB2,,O60825
PFKFB3,,Q16875
PFKM,,P08237
PGCP,,None
PGD,,P52209
PGF,,P49763
PGGT1B,,P53609
PGM1,,P36871
PGM2,,Q96G03
PGM3,,O95394
PGR,-0.023153301901883847,P06401
PGRMC1,,O00264
PHEX,,P78562
PHF1,,O43189
PHF11,,Q9UIL8
PHF12,,Q96QT6
PHF19,,Q5T6S3
PHF2,,O75151
PHF20,,Q9BVI0
PHF5A,,Q7RTV0
PHF8,-0.004874443409135048,Q9UPP1
PHIP,,Q8WWQ0
PHKA1,,P46020
PHKA2,,P46019
PHKB,,Q93100
PHKG1,,Q16816
PHKG2,,P15735
PHOSPHO1,,Q8TCT1
PHOX2A,,O14813
PHOX2B,,Q99453
PHYH,,O14832
PI3,,P19957
PI4K2A,,Q9BTU6
PI4K2B,,Q8TCG2
PI4KA,,P42356
PI4KB,,Q9UBF8
PIAS1,,O75925
PIAS2,,O75928
PIAS3,,Q9Y6X2
PIAS4,,Q8N2W9
PIEZO1,,Q92508
PIK3C2B,,O00750
PIK3C3,,Q8NEB9
PIK3CA,,P42336
PIK3CB,,P42338
PIK3CD,,O00329
PIK3CG,,P48736
PIK3R1,,P27986
PIK3R2,,O00459
PIK3R3,,Q92569
PIK3R4,,Q99570
PIKFYVE,,Q9Y2I7
PIM1,,P11309
PIM2,,Q9P1W9
PIM3,,Q86V86
PIN1,,Q13526
PIP4K2A,,P48426
PIP5K1A,,Q99755
PIP5K1C,,O60331
PIPOX,,Q9P0Z9
PIR,,O00625
PITX1,,P78337
PITX2,,Q99697
PITX3,,O75364
PKA,,None
PKC,,None
PKD1,,P98161
PKD2,,Q13563
PKD2L1,,Q9P0L9
PKIA,,P61925
PKLR,,P30613
PKM,,P14618
PKMYT1,,Q99640
PKN1,,Q16512
PKN2,,Q16513
PKNOX1,,P55347
PKNOX2,,Q96KN3
PLA2G10,,O15496
PLA2G1B,,P04054
PLA2G2A,,P14555
PLA2G2D,,Q9UNK4
PLA2G2E,,Q9NZK7
PLA2G4A,,P47712
PLA2G5,,P39877
PLA2G6,,O60733
PLA2G7,,Q13093
PLAAT4,,Q9UL19
PLAG1,,Q6DJT9
PLAGL1,,Q9UM63
PLAGL2,,Q9UPG8
PLAT,,P00750
PLAU,,P00749
PLAUR,,Q03405
PLCB1,,Q9NQ66
PLCB2,,Q00722
PLCB3,,Q01970
PLCD1,,P51178
PLCG1,,P19174
PLCG2,,P16885
PLCL1,,Q15111
PLD1,,Q13393
PLD2,,O14939
PLD3,,Q8IV08
PLEKHA1,,Q9HB21
PLG,,P00747
PLIN1,,O60240
PLIN2,,Q99541
PLK1,,P53350
PLK2,,Q9NYY3
PLK3,,Q9H4B4
PLK4,,O00444
PLOD1,,Q02809
PLPP6,,Q8IY26
PLRG1,,O43660
PLTP,,P55058
PMAIP1,,Q13794
PMF1,,Q6P1K2
PML,,P29590
PMS1,,P54277
PNCK,,Q6P2M8
PNKP,,Q96T60
PNLIP,,P16233
PNMT,,P11086
PNP,,P00491
PNPLA6,,Q8IY17
PNPLA7,,Q6ZV29
PNRC1,,Q12796
PNRC2,,Q9NPJ4
POLA1,,P09884
POLB,,P06746
POLD1,,P28340
POLE,,Q07864
POLE2,,P56282
POLE3,,Q9NRF9
POLE4,,Q9NR33
POLH,,Q9Y253
POLI,,Q9UNA4
POLK,,Q9UBT6
POLR2A,0.027674419210101373,P24928
POLR3C,,Q9BUI4
POLR3F,,Q9H1D9
POMC,,P01189
PON1,,P27169
POR,,P16435
PORCN,,Q9H237
POTEE,,Q6S8J3
POTEI,,P0CG38
POTEJ,,P0CG39
POU1F1,,P28069
POU2AF1,,Q16633
POU2F1,,P14859
POU2F2,0.005277051105409886,P09086
POU2F3,,Q9UKI9
POU3F1,,Q03052
POU3F2,,P20265
POU3F3,,P20264
POU3F4,,P49335
POU4F1,,Q01851
POU4F2,,Q12837
POU4F3,,Q15319
POU5F1,,Q01860
POU5F1B,,Q06416
POU5F2,,Q8N7G0
POU6F1,,Q14863
POU6F2,,P78424
PPAN-P2RY11,,PPAN-P2RY11
PPARA,-0.03852698317969254,Q07869
PPARD,-0.00635834154109465,Q03181
PPARG,0.04161831920480372,P37231
PPARGC1A,,Q9UBK2
PPARGC1B,,Q86YN6
PPAT,,Q06203
PPBP,,P02775
PPI,,None
PPIA,,P62937
PPIB,,P23284
PPIC,,P45877
PPID,,Q08752
PPIF,,P30405
PPIG,,Q13427
PPIH,,O43447
PPM1D,,O15297
PPME1,,Q9Y570
PPOX,,P50336
PPP1CA,,P62136
PPP1CC,,P36873
PPP1R12A,,O14974
PPP1R13L,,Q8WUF5
PPP2CA,,P67775
PPP2CB,,P62714
PPP2R1A,,P30153
PPP2R5A,,Q15172
PPP2R5D,,Q14738
PPP3CA,,Q08209
PPP3CB,,P16298
PPP3CC,,P48454
PPP3R1,,P63098
PPP3R2,,Q96LZ3
PPRC1,,Q5VV67
PQBP1,,O60828
PRAME,,P78395
PRC1,,O43663
PRDM1,,O75626
PRDM10,,Q9NQV6
PRDM12,,Q9H4Q4
PRDM13,,Q9H4Q3
PRDM14,,Q9GZV8
PRDM15,,P57071
PRDM16,,Q9HAZ2
PRDM2,,Q13029
PRDM4,,Q9UKN5
PRDM5,,Q9NQX1
PRDM6,,Q9NQX0
PRDM7,,Q9NQW5
PRDM8,,Q9NQV8
PRDM9,,Q9NQV7
PRDX2,,P32119
PRDX3,,P30048
PRDX5,,P30044
PRDX6,,P30041
PREB,,Q9HCU5
PREP,,P48147
PRKAA1,,Q13131
PRKAA2,,P54646
PRKAB1,,Q9Y478
PRKAB2,,O43741
PRKACA,,P17612
PRKACB,,P22694
PRKACG,,P22612
PRKAG1,,P54619
PRKAG2,,Q9UGJ0
PRKAG3,,Q9UGI9
PRKAR1A,,P10644
PRKAR1B,,P31321
PRKAR2A,,P13861
PRKAR2B,,P31323
PRKCA,,P17252
PRKCB,,P05771
PRKCD,,Q05655
PRKCE,,Q02156
PRKCG,,P05129
PRKCH,,P24723
PRKCI,,P41743
PRKCQ,,Q04759
PRKCZ,,Q05513
PRKD1,,Q15139
PRKD2,,Q9BZL6
PRKD3,,O94806
PRKDC,0.008812733689157784,P78527
PRKG1,,Q13976
PRKG2,,Q13237
PRKX,,P51817
PRL,,P01236
PRLR,,P16471
PRMT1,,Q99873
PRMT2,,P55345
PRMT3,,O60678
PRMT5,,O14744
PRMT6,,Q96LA8
PRNP,,P04156
PROC,,P04070
PRODH,,O43272
PROKR2,,Q8NFJ6
PROP1,,O75360
PROS1,,P07225
PROSC,,None
PROX1,,Q92786
PROX2,,Q3B8N5
PROZ,,P22891
PRPF6,,O94906
PRPS1,,P60891
PRRX1,,P54821
PRRX2,,Q99811
PRSS1,,P07477
PRSS2,,P07478
PRSS3,,P35030
PRSS8,,Q16651
PSAT1,,Q9Y617
PSEN1,,P49768
PSEN2,,P49810
PSIP1,,O75475
PSMA1,,P25786
PSMA2,,P25787
PSMA3,,P25788
PSMA4,,P25789
PSMA5,,P28066
PSMA6,,P60900
PSMA7,,O14818
PSMA8,,Q8TAA3
PSMB1,,P20618
PSMB10,,P40306
PSMB11,,A5LHX3
PSMB2,,P49721
PSMB3,,P49720
PSMB4,,P28070
PSMB5,,P28074
PSMB6,,P28072
PSMB7,,Q99436
PSMB8,,P28062
PSMB9,,P28065
PSMC3,,P17980
PSMC3IP,,Q9P2W1
PSMD1,,Q99460
PSMD2,,Q13200
PSMD9,,O00233
PSPC1,,Q8WXF1
PTAFR,,P25105
PTCH1,,Q13635
PTEN,,P60484
PTF1A,,Q7RTS3
PTGDR,,Q13258
PTGDR2,,Q9Y5Y4
PTGER1,,P34995
PTGER2,,P43116
PTGER3,,P43115
PTGER4,,P35408
PTGES,,O14684
PTGFR,,P43088
PTGIR,,P43119
PTGIS,,Q16647
PTGR1,,Q14914
PTGR2,,Q8N8N7
PTGS1,,P23219
PTGS2,,P35354
PTH,,P01270
PTH1R,,Q03431
PTH2R,,P49190
PTHLH,,P12272
PTK2,,Q05397
PTK2B,,Q14289
PTK6,,Q13882
PTMA,,P06454
PTP4A3,,O75365
PTPMT1,,Q8WUK0
PTPN1,,P18031
PTPN11,,Q06124
PTPN12,,Q05209
PTPN18,,Q99952
PTPN2,,P17706
PTPN20,,Q4JDL3
PTPN22,,Q9Y2R2
PTPN4,,P29074
PTPN5,,P54829
PTPN6,,P29350
PTPN7,,P35236
PTPN9,,P43378
PTPRE,,P23469
PTPRG,,P23470
PTPRO,,Q16827
PTPRR,,Q15256
PTPRS,,Q13332
PTRF,,None
PTS,,Q03393
PTTG1,,O95997
PTTG2,,Q9NZH5
PUF60,,Q9UHX1
PURA,,Q00577
PURB,,Q96QR8
PVR,,P15151
PXN,,P49023
PYCR1,,P32322
PYCR2,,Q96C36
PYCRL,,None
PYGB,,P11216
PYGL,,P06737
PYGM,,P11217
PYGO2,,Q9BRQ0
QDPR,,P09417
QPCT,,Q16769
QRFPR,,Q96P65
RAB11A,,P62491
RAB11B,,Q15907
RAB24,,Q969Q5
RAB25,,P57735
RAB2A,,P61019
RAB2B,,Q8WUD1
RAB9A,,P51151
RAC1,,P63000
RAC2,,P15153
RAC3,,P60763
RAD21,,O60216
RAD51,,Q06609
RAD51B,,O15315
RAD51C,,O43502
RAD51D,,O75771
RAE1,,P78406
RAF1,,P04049
RALA,,P11233
RALB,,P11234
RALBP1,,Q15311
RALGAPA2,,Q2PPJ7
RALGAPB,,Q86X10
RAMP1,,O60894
RAMP2,,O60895
RAMP3,,O60896
RAN,,P62826
RANBP1,,P43487
RANBP2,,P49792
RANGAP1,,P46060
RAP1A,,P62834
RAP1B,,P61224
RAP2A,,P10114
RAPGEF3,,O95398
RAPGEF4,,Q8WZA2
RARA,-0.038023253441262075,P10276
RARB,0.014892648083677887,P10826
RARG,0.0022150710023362856,P13631
RARRES1,,P49788
RASA1,,P20936
RASL12,,Q9NYN1
RASSF1,,Q9NS23
RAX,,Q9Y2V3
RAX2,,Q96IS3
RB1,-0.03792830674295224,P06400
RBAK,,Q9NYW8
RBBP4,,Q09028
RBBP5,,Q15291
RBBP7,,Q16576
RBBP8,,Q99708
RBFOX2,,O43251
RBL1,,P28749
RBL2,,Q08999
RBM14,,Q96PK6
RBM39,,Q14498
RBP1,,P09455
RBP4,,P02753
RBPJ,,Q06330
RBPJL,,Q9UBG7
RBPMS,,Q93062
RCC1,,P18754
RCOR1,,Q9UKL0
RCOR2,,Q8IZ40
RCOR3,,Q9P2K3
RCVRN,,P35243
REG1A,,P05451
REL,,Q04864
RELA,0.0021980936025167838,Q04206
RELB,,Q01201
REM1,,O75628
REM2,,Q8IYK8
REN,,P00797
REPIN1,,Q9BWE0
RERE,,Q9P2R6
RERG,,Q96A58
REST,,Q13127
RET,,P07949
RETN,,Q9HD89
REV1,,Q9UBZ9
REXO4,,Q9GZR2
RFC1,,P35251
RFK,,Q969G6
RFX1,,P22670
RFX2,,P48378
RFX3,,P48380
RFX4,,Q33E94
RFX5,,P48382
RFX6,,Q8HWS3
RFX7,,Q2KHR2
RFX8,,Q6ZV50
RFXANK,,O14593
RFXAP,,O00287
RGL1,,Q9NZL6
RGS1,,Q08116
RGS10,,O43665
RGS14,,O43566
RGS17,,Q9UGC6
RGS18,,Q9NS28
RGS19,,P49795
RGS2,,P41220
RGS20,,O76081
RGS4,,P49798
RGS6,,P49758
