protein,pearson_correlation,protein_uniprot
BATF3,,Q9NR55
BAX,,Q07812
BAZ1A,,Q9NRL2
BAZ1B,,Q9UIG0
BAZ2A,,Q9UIF9
BAZ2B,,Q9UIF8
BBOX1,,O75936
BBX,,Q8WY36
BCAR1,,P56945
BCAT1,,P54687
BCAT2,,O15382
BCHE,,P06276
BCL10,,O95999
BCL11A,,Q9H165
BCL11B,,Q9C0K0
BCL2,,P10415
BCL2A1,,Q16548
BCL2L1,,Q07817
BCL2L11,,O43521
BCL2L2,,601931
BCL3,,P20749
BCL6,,P41182
BCL6B,,Q8N143
BCL9L,,Q86UU0
BCLAF1,,Q9NYF8
BCOR,,Q6W2J9
BCR,,P11274
BCR/ABL fusion,,None
BDKRB1,,P46663
BDKRB2,,P30411
BDNF,,P23560
BDP1,,A6H8Y1
BGLAP,,P02818
BHLHA15,,Q7RTS1
BHLHA9,,Q7RTU4
BHLHE22,,Q8NFJ8
BHLHE23,,Q8NDY6
BHLHE40,,O14503
BHLHE41,,Q9C0J9
BHMG1,,None
BHMT,,Q93088
BID,,P55957
BIK,,Q13323
BIRC2,-0.04531883366356915,Q13490
BIRC3,,Q13489
BIRC5,,O15392
BIRC7,,Q96CA5
BLK,,P51451
BLM,,P54132
BLVRA,,P53004
BLVRB,,P30043
BLZF1,,Q9H2G9
BMI1,,P35226
BMP1,,P13497
BMP2,,P12643
BMP4,,P12644
BMP7,,P18075
BMPR1A,,P36894
BMPR1B,,O00238
BMPR2,,Q13873
BMX,,P51813
BNC1,,Q01954
BNC2,,Q6ZN30
BNIP3,,Q12983
BPHL,,Q86WA6
BPTF,,Q12830
BRAF,,P15056
BRCA1,-0.00565668904273879,P38398
BRCA2,,P51587
BRD1,,O95696
BRD2,-0.03172675629422577,P25440
BRD3,0.0,Q15059
BRD4,-0.061896012068863186,O60885
BRD7,,Q9NPI1
BRD8,,Q9H0E9
BRD9,,Q9H8M2
BRDT,0.0656352647846877,Q58F21
BRF2,,Q9HAW0
BRIP1,,Q9BX63
BRPF1,,P55201
BRPF3,,Q9ULD4
BRS3,,P32247
BRSK1,,Q8TDC3
BRSK2,,Q8IWQ3
BRWD1,,Q9NSI6
BST1,,Q10588
BSX,,Q3C1V8
BTAF1,,O14981
BTF3,,P20290
BTG1,,P62324
BTG3,,Q14201
BTK,,Q06187
BTRC,,Q9Y297
CA1,,P00915
CA10,,Q9NS85
CA11,,O75493
CA12,,O43570
CA13,,Q8N1Q1
CA14,,Q9ULX7
CA2,,P00918
CA3,,P07451
CA4,,P22748
CA5A,,P35218
CA5B,,Q9Y2D0
CA6,,P23280
CA7,,P43166
CA8,,P35219
CA9,,Q16790
CABIN1,,Q9Y6J0
CACNA1A,,O00555
CACNA1B,,Q00975
CACNA1C,,Q13936
CACNA1D,,Q01668
CACNA1E,,Q15878
CACNA1F,,O60840
CACNA1G,,O43497
CACNA1H,,O95180
CACNA1I,,Q9P0X4
CACNA1S,,Q13698
CACNA2D1,,P54289
CACNA2D2,,Q9NY47
CACNA2D3,,Q8IZS8
CACNA2D4,,Q7Z3S7
CACNB1,,Q02641
CACNB2,,Q08289
CACNB3,,P54284
CACNB4,,O00305
CACNG1,,Q06432
CACNG2,,Q9Y698
CACNG3,,O60359
CACNG4,,Q9UBN1
CACNG5,,Q9UF02
CACNG6,,Q9BXT2
CACNG7,,P62955
CACNG8,,Q8WXS5
CAD,,P27708
CADPS,,Q9ULU8
CADPS2,,Q86UW7
CALCA,,P06881
CALCB,,P10092
CALCOCO1,,Q9P1Z2
CALCR,,P30988
CALCRL,,Q16602
CALM1,,P0DP23
CALM2,,P0DP24
CALM3,,P0DP25
CALR,,P27797
CALY,,Q9NYX4
CAMK1,,Q14012
CAMK1D,,Q8IU85
CAMK1G,,Q96NX5
CAMK2A,,Q9UQM7
CAMK2B,,Q13554
CAMK2D,,Q13557
CAMK2G,,Q13555
CAMK4,,Q16566
CAMKK1,,Q8N5S9
CAMKK2,,Q96RR4
CAMLG,,P49069
CAMTA1,,Q9Y6Y1
CAMTA2,,O94983
CANT1,,Q8WVQ1
CAPG,,P40121
CAPN1,,P07384
CAPN15,,O75808
CAPN2,,P17655
CAPNS1,,P04632
CARF,,Q8N187
CARHSP1,,Q9Y2V2
CARM1,,Q86X55
CARTPT,,Q16568
CASP1,,P29466
CASP10,,Q92851
CASP12,,Q6UXS9
CASP2,,P42575
CASP3,,P42574
CASP4,,P49662
CASP6,,P55212
CASP7,,P55210
CASP8,,Q14790
CASP9,,P55211
CASR,,P41180
CASZ1,,Q86V15
CAT,,P04040
CATSPER1,,Q8NEC5
CATSPER2,,Q96P56
CATSPER3,,Q86XQ3
CATSPER4,,Q7RTX7
CAV1,,Q03135
CAVIN1,,Q6NZI2
CBFA2T2,,O43439
CBFA2T3,,O75081
CBFB,,Q13951
CBL,,P22681
CBLIF,,P27352
CBR1,,P16152
CBS,,P35520
CBX2,,Q14781
CBX3,,Q13185
CBX4,,O00257
CBX5,,P45973
CBX6,,O95503
CBX7,,O95931
CBX8,,Q9HC52
CCAR1,,Q8IX12
CCBL1,,None
CCBL2,,None
CCDC59,,Q9P031
CCK,,P06307
CCKAR,,P32238
CCKBR,,P32239
CCL11,,P51671
CCL17,,Q92583
CCL2,,P13500
CCL7,,P80098
CCL8,,P80075
CCN2,,P29279
CCNA2,-0.01373804954782147,P20248
CCNB1,,P14635
CCNC,,P24863
CCND1,,P24385
CCND3,,P30281
CCNE1,-0.023150426316043592,P24864
CCNH,0.0018631905677617487,P51946
CCNT1,-0.03425565929628473,O60563
CCR1,,P32246
CCR2,,P41597
CCR3,,P51677
CCR4,,P51679
CCR5,,P51681
CCR8,,P51685
CCR9,,P51686
CCS,,O14618
CD19,,P15391
CD1A,,P06126
CD2,,P06729
CD209,,Q9NNX6
CD274,,Q9NZQ7
CD28,,P10747
CD36,,P16671
CD38,,P28907
CD3D,,P04234
CD4,,P01730
CD40LG,,P29965
CD44,,P16070
CD55,,P08174
CD80,,P33681
CD86,,P42081
CDA,,P32320
CDC25A,,P30304
CDC25B,,P30305
CDC25C,,P30307
CDC42,,P60953
CDC42BPA,,Q5VT25
CDC42BPB,,Q9Y5S2
CDC5L,,Q99459
CDC60,,None
CDC7,,O00311
CDH1,,P12830
CDH13,,P55290
CDH2,,P19022
CDH5,,P33151
CDIP1,,Q9H305
CDIPT,,O14735
CDK1,,P06493
CDK15,,Q96Q40
CDK2,-0.009685190230979444,P24941
CDK3,,Q00526
CDK4,,P11802
CDK5,,Q00535
CDK5R1,,Q15078
CDK6,,Q00534
CDK7,0.06393845126321236,P50613
CDK8,0.030429640883087177,P49336
CDK9,0.0017263529055641525,P50750
CDKL2,,Q92772
CDKN1A,,P38936
CDKN1B,,P46527
CDKN2B,,P42772
CDKN2C,,P42773
CDKN2D,,P55273
CDX1,,P47902
CDX2,,Q99626
CDX4,,O14627
CDY1B,,Q9Y6F8
CDY2B,,Q9Y6F7
CDYL,,Q9Y232
CEBPA,-0.03273516800149583,P49715
CEBPB,0.02382366100847463,P17676
CEBPD,,P49716
CEBPE,,Q15744
CEBPG,,P53567
CEBPZ,,Q03701
CECR2,,Q9BXF3
CEL,,P19835
CELA1,,Q9UNI1
CENPB,,P07199
CENPE,,Q02224
CENPF,,P49454
CEPT1,,Q9Y6K0
CERK,,Q8TCT0
CERS2,,Q96G23
CERS3,,Q8IU89
CERS4,,Q9HA82
CERS5,,Q8N5B7
CERS6,,Q6ZMG9
CES1,,P23141
CES2,,O00748
CES3,,Q6UWW8
CETP,,P11597
CFB,,P00751
CFD,,P00746
CFH,,P08603
CFL1,,P23528
CFLAR,,O15519
CFTR,,P13569
CGA,,P01215
CGB3,,118860
CHAF1B,,Q13112
CHAT,,P28329
CHD1,0.026492338590170885,O14646
CHD2,,O14647
CHD3,,Q12873
CHD4,,Q14839
CHD6,,Q8TD26
CHD7,,Q9P2D1
CHD8,,Q9HCK8
CHD9,,Q3L8U1
CHEK1,,O14757
CHEK2,,O96017
CHI3L1,,P36222
CHIA,,Q9BZP6
CHIT1,,Q13231
CHKA,,P35790
CHN1,,P15882
CHP1,,Q99653
CHPT1,,Q8WUD6
CHRFAM7A,,Q494W8
CHRM1,,P11229
CHRM2,,P08172
CHRM3,,P20309
CHRM4,,P08173
CHRM5,,P08912
CHRNA1,,P02708
CHRNA10,,Q9GZZ6
CHRNA2,,Q15822
CHRNA3,,P32297
CHRNA4,,P43681
CHRNA5,,P30532
CHRNA6,,Q15825
CHRNA7,,P36544
CHRNA9,,Q9UGM1
CHRNB1,,P11230
CHRNB2,,P17787
CHRNB3,,Q05901
CHRNB4,,P30926
CHRND,,Q07001
CHRNE,,Q04844
CHRNG,,P07510
CHUK,,O15111
CIC,,Q96RK0
CIITA,,P33076
CIR1,,Q86X95
CITED1,,Q99966
CITED2,,Q99967
CITED4,,Q96RK1
CIZ1,,Q9ULV3
CKB,,P12277
CKM,,P06732
CKMT1B,,P12532
CLCA1,,A8K7I4
CLCN1,,P35523
CLCN2,,P51788
CLCN3,,P51790
CLCN7,,P51798
CLCNKA,,P51800
CLCNKB,,P51801
CLDN3,,O15551
CLDN4,,O14493
CLIC2,,O15247
CLK1,,P49759
CLK2,,P49760
CLK3,,P49761
CLK4,,Q9HAZ1
CLOCK,,O15516
CLTA,,P09496
CLTC,,Q00610
CMA1,,P23946
CMPK1,,P30085
CNBD2,,Q96M20
CNBP,,P62633
CNGA1,,P29973
CNOT1,,A5YKK6
CNOT2,,Q9NZN8
CNOT3,,O75175
CNOT6,,Q9ULM6
CNR1,,P21554
CNR2,,P34972
CNTF,,P26441
CNTFR,,P26992
COG2,,Q14746
COL1A1,,P02452
COMMD3-BMI1,,COMMD3-BMI1
COMT,,P21964
COMTD1,,Q86VU5
COPS2,,P61201
COPS5,,Q92905
COQ6,,Q9Y2Z9
CORIN,,Q9Y5Q5
CPA1,,P15085
CPA2,,P48052
CPB1,,P15086
CPB2,,Q96IY4
CPHXL,,A0A1W2PPM1
CPOX,,P36551
CPS1,,P31327
CPSF4,,O95639
CPT1A,,P50416
CPT1B,,Q92523
CPT1C,,Q8TCG5
CPT2,,P23786
CRABP1,,P29762
CRABP2,,P29373
CRAT,,P43155
CRBN,,Q96SW2
CREB1,-0.02275192602360216,P16220
CREB3,,O43889
CREB3L1,,Q96BA8
CREB3L2,,Q70SY1
CREB3L3,,Q68CJ9
CREB3L4,,Q8TEY5
CREB5,,Q02930
CREBBP,-0.0013710742747893656,Q92793
CREBL2,,O60519
CREBZF,,Q9NS37
CREG1,,O75629
CREM,,Q03060
CRH,,P06850
CRHR1,,P34998
CRHR2,,Q13324
CRK,,P46108
CRKL,,P46109
CRP,,P02741
CRTC1,,Q6UUV9
CRTC2,,Q53ET0
CRX,,O43186
CRY1,,Q16526
CRY2,,Q49AN0
CRYM,,Q14894
CRYZ,,Q08257
CSDC2,,Q9Y534
CSDE1,,O75534
CSF1,,P09603
CSF1R,,P07333
CSF2,,P04141
CSF2RA,,P15509
CSF2RB,,P32927
CSF3,,P09919
CSF3R,,Q99062
CSK,,P41240
CSNK1A1,,P48729
CSNK1D,,P48730
CSNK1E,,P49674
CSNK1G2,,P78368
CSNK1G3,,Q9Y6M4
CSNK2A1,,P68400
CSNK2A2,,P19784
CSNK2B,,P67870
CTAG1B,,P78358
CTBP1,,Q13363
CTBP2,,P56545
CTCF,,P49711
CTCFL,,Q8NI51
CTDSP1,,Q9GZU7
CTGF,,None
CTH,,P32929
CTLA4,,P16410
CTNNB1,0.014989307168898942,P35222
CTPS1,,P17812
CTR9,,Q6PD62
CTRB1,,P17538
CTRB2,,Q6GPI1
CTRL,,P40313
CTSA,,P10619
CTSB,,P07858
CTSC,,P53634
CTSD,,P07339
CTSE,,P14091
CTSF,,Q9UBX1
CTSG,,P08311
CTSH,,P09668
CTSK,,P43235
CTSL,,P07711
CTSO,,P43234
CTSS,,P25774
CTSV,,O60911
CTSW,,P56202
CTSZ,,Q9UBR2
CUX1,,Q13948
CUX2,,O14529
CX3CR1,,P49238
CXCL10,,P02778
CXCL12,,P48061
CXCL8,,P10145
CXCR1,,P25024
CXCR2,,P25025
CXCR3,,P49682
CXCR4,,P61073
CXCR6,,O00574
CXXC1,,Q9P0U4
CYBA,,P13498
CYBB,,P04839
CYC1,,P08574
CYCS,,P99999
CYGB,,Q8WWM9
CYP11A1,,P05108
CYP11B1,,P15538
CYP11B2,,P19099
CYP17A1,,P05093
CYP19A1,,P11511
CYP1A1,,P04798
CYP1A2,,P05177
CYP1B1,,Q16678
CYP21A2,,P08686
CYP24A1,,Q07973
CYP26A1,,O43174
CYP26B1,,Q9NR63
CYP27A1,,Q02318
CYP27B1,,O15528
CYP2A13,,Q16696
CYP2A6,,P11509
CYP2A7,,P20853
CYP2B6,,P20813
CYP2C18,,P33260
CYP2C19,,P33261
CYP2C8,,P10632
CYP2C9,,P11712
CYP2D6,,P10635
CYP2E1,,P05181
CYP2F1,,P24903
CYP2J2,,P51589
