,drug,class
301,pubchem.compound:104845,[]
302,pubchem.compound:6610326,[]
303,pubchem.compound:2253,[]
304,pubchem.compound:4302962,[]
305,pubchem.compound:5328768,[]
306,pubchem.compound:5328772,[]
307,pubchem.compound:10251,[]
308,pubchem.compound:5083,[]
309,pubchem.compound:11524144,[]
310,pubchem.compound:6420094,[]
311,pubchem.compound:5284613,[]
312,pubchem.compound:1103147,[]
313,pubchem.compound:656732,[]
314,pubchem.compound:91588,[]
315,pubchem.compound:5265,[]
316,pubchem.compound:104955,[11]
317,pubchem.compound:5311432,[]
318,pubchem.compound:3387354,[]
319,pubchem.compound:3292447,[]
320,pubchem.compound:108029,[]
321,pubchem.compound:5145950,[]
322,pubchem.compound:5312145,[]
323,pubchem.compound:5281691,[]
324,pubchem.compound:4883,[11]
325,pubchem.compound:327653,[]
326,pubchem.compound:24868311,[]
327,pubchem.compound:4910,[]
328,pubchem.compound:656804,[]
329,pubchem.compound:5834,[]
330,pubchem.compound:4847,[]
331,pubchem.compound:4830,[8]
332,pubchem.compound:379077,[]
333,pubchem.compound:4552,[12]
334,pubchem.compound:3272524,[8]
335,pubchem.compound:4519822,[]
336,pubchem.compound:4031,[13]
337,pubchem.compound:54682505,[8]
338,pubchem.compound:9829836,[]
339,pubchem.compound:9961192,[]
340,pubchem.compound:3707,[]
341,pubchem.compound:9989505,[]
342,pubchem.compound:161930,[]
343,pubchem.compound:54677972,[15]
344,pubchem.compound:230748,[]
345,pubchem.compound:5318997,[]
346,pubchem.compound:3392731,[]
347,pubchem.compound:9893571,[13]
348,pubchem.compound:447905,[8]
349,pubchem.compound:6518171,[]
350,pubchem.compound:119376,[]
351,pubchem.compound:348482,[]
352,pubchem.compound:3335,[15]
353,pubchem.compound:134551,[]
354,pubchem.compound:12961638,[]
355,pubchem.compound:71277,[]
356,pubchem.compound:107905,[]
357,pubchem.compound:10131112,[]
358,pubchem.compound:3087190,[11]
359,pubchem.compound:2990,[]
360,pubchem.compound:3162,[]
361,pubchem.compound:12004512,[]
362,pubchem.compound:10071166,[]
363,pubchem.compound:5745,[2]
364,pubchem.compound:9324,[]
365,pubchem.compound:6834,[12]
366,pubchem.compound:443967,[]
367,pubchem.compound:2286,[]
368,pubchem.compound:5327723,[]
369,pubchem.compound:15443,[]
370,pubchem.compound:119034,[]
371,pubchem.compound:22565,[]
372,pubchem.compound:68186,[]
373,pubchem.compound:680502,[]
374,pubchem.compound:5311000,[]
375,pubchem.compound:2064,[]
376,pubchem.compound:1464,[2]
377,pubchem.compound:5281804,[]
378,pubchem.compound:5328769,[]
379,pubchem.compound:9844109,[]
380,pubchem.compound:1853,[]
381,pubchem.compound:3941250,[]
382,pubchem.compound:5662,[]
383,pubchem.compound:3540,[]
384,pubchem.compound:4214594,[]
385,pubchem.compound:419676,[]
386,pubchem.compound:13472,[]
387,pubchem.compound:9547215,[]
388,pubchem.compound:134820163,[]
389,pubchem.compound:91769,[]
